IC_GROUP0;IC_GROUP1;IC_GROUP2;IE_XML_ID;IE_NAME;IE_CODE;IP_PROP57;IP_PROP49;IP_PROP56;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IE_PREVIEW_PICTURE;IE_DETAIL_PICTURE
BoneTrust;абатменты;one;20583;220-160317 One;220-160317-one;Имплантология;BONETRUST;Германия;Абатмент эстетический 17,5°;;/upload/photo/86.jpg;/upload/photo/86.jpg
BoneTrust;абатменты;one;20582;220-160300 One;220-160300-one;Имплантология;BONETRUST;Германия;Абатмент эстетический 0°;;/upload/photo/85.jpg;/upload/photo/85.jpg
BoneTrust;абатменты;one;20581;220-161305 One;220-161305-one;Имплантология;BONETRUST;Германия;Lucky Lock абатмент набор, скос 5,0 мм;;/upload/photo/87_65_890.jpg;/upload/photo/87_65_890.jpg
BoneTrust;абатменты;one;20580;220-161303 One;220-161303-one;Имплантология;BONETRUST;Германия;Lucky Lock абатмент набор, скос 3,5 мм;;/upload/photo/87.jpg;/upload/photo/87.jpg
BoneTrust;абатменты;UCLA;20529;263-153400 Cone Plus;263-153400-cone-plus;Имплантология;BONETRUST;Германия;Абатмент шестиугольный, ;;/upload/photo/rmt938244269838307353.jpg;/upload/photo/rmt938244269838307353.jpg
BoneTrust;абатменты;UCLA;20528;263-054000 Cone Plus;263-054000-cone-plus;Имплантология;BONETRUST;Германия;Абатмент классический ;;/upload/photo/rmt21467858061874153374.jpg;/upload/photo/rmt21467858061874153374.jpg
BoneTrust;абатменты;заживляющие;28358;280-255000 CONE PLUS;280-255000-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер для открытой ложки с фиксирующим винтом, длинный, ;;/upload/photo/72_17_241.jpg;/upload/photo/72_17_241.jpg
BoneTrust;абатменты;заживляющие;28357;280-254000 CONE PLUS;280-254000-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер для открытой ложки с фиксирующим винтом, длинный, ;;/upload/photo/72_98_71.jpg;/upload/photo/72_98_71.jpg
BoneTrust;абатменты;заживляющие;28356;280-155000 CONE PLUS;280-155000-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер для закрытой ложки с винтом и колпачком, длинный, ;;/upload/photo/138_74_79.jpg;/upload/photo/138_74_79.jpg
BoneTrust;абатменты;заживляющие;28355;280-154000 CONE PLUS;280-154000-cone-plus;Имплантология;BONETRUST;Германия;Слепочный трансфер для закрытой ложки с винтом и колпачком, длинный, ;;/upload/photo/138_27_960.jpg;/upload/photo/138_27_960.jpg
BoneTrust;абатменты;заживляющие;28353;270-WB5050 CONE PLUS;270-wb5050-cone-plus;Имплантология;BONETRUST;Германия;Формирователь десны Wide Body, высота десны 5.0 мм, ;;/upload/photo/137_89_65.png;/upload/photo/137_89_65.png
BoneTrust;абатменты;заживляющие;28352;270-005015 CONE PLUS;270-005015-cone-plus;Имплантология;BONETRUST;Германия;Формирователь десны, высота десны 1,5 мм, ;;/upload/photo/133_6_356.png;/upload/photo/133_6_356.png
BoneTrust;абатменты;заживляющие;28351;270-004015 CONE PLUS;270-004015-cone-plus;Имплантология;BONETRUST;Германия;Формирователь десны, высота десны 1,5 мм, ;;/upload/photo/133.png;/upload/photo/133.png
BoneTrust;абатменты;заживляющие;28350;270-003415 CONE PLUS;270-003415-cone-plus;Имплантология;BONETRUST;Германия;Формирователь десны, высота десны 1,5 мм, ;;/upload/photo/130_32_495.png;/upload/photo/130_32_495.png
BoneTrust;абатменты;заживляющие;28349;270-003015 CONE PLUS;270-003015-cone-plus;Имплантология;BONETRUST;Германия;Формирователь десны, высота десны 1,5 мм, ;;/upload/photo/130.png;/upload/photo/130.png
BoneTrust;абатменты;заживляющие;20791;190-300170 Hex Plus;190-300170-hex-plus;Имплантология;BONETRUST;Германия;Планшет для заживляющих абатментов, необорудованный;;/upload/photo/rmt14609591511386198524.jpg;/upload/photo/rmt14609591511386198524.jpg
BoneTrust;абатменты;заживляющие;20763;270-WB5030 Cone Plus;270-wb5030-cone-plus;Имплантология;BONETRUST;Германия;Формирователь десны Wide Body, ;;/upload/photo/136_8_47.png;/upload/photo/136_8_47.png
BoneTrust;абатменты;заживляющие;20762;270-WB3450 Cone Plus;270-wb3450-cone-plus;Имплантология;BONETRUST;Германия;Формирователь десны Wide Body, ;;/upload/photo/137.png;/upload/photo/137.png
BoneTrust;абатменты;заживляющие;20761;270-WB3430 Cone Plus;270-wb3430-cone-plus;Имплантология;BONETRUST;Германия;Формирователь десны Wide Body, ;;/upload/photo/136.png;/upload/photo/136.png
BoneTrust;абатменты;заживляющие;20730;270-103450 Cone Plus;270-103450-cone-plus;Имплантология;BONETRUST;Германия;Формирователь десны, ;;/upload/photo/63_30_309.png;/upload/photo/63_30_309.png
BoneTrust;абатменты;заживляющие;20729;270-103430 Cone Plus;270-103430-cone-plus;Имплантология;BONETRUST;Германия;Формирователь десны Switzerland, ;;/upload/photo/1_34_810.jpg;/upload/photo/1_34_810.jpg
BoneTrust;абатменты;заживляющие;20686;170-005050 Hex Plus;170-005050-hex-plus;Имплантология;BONETRUST;Германия;Формирователь десны, ;;/upload/photo/60_converted_9_900.jpg;/upload/photo/60_converted_9_900.jpg
BoneTrust;абатменты;заживляющие;20685;170-005030 Hex plus;170-005030-hex-plus;Имплантология;BONETRUST;Германия;Формирователь десны, ;;/upload/photo/59_49_700.jpg;/upload/photo/59_49_700.jpg
BoneTrust;абатменты;заживляющие;20684;170-005015 Hex Plus;170-005015-hex-plus;Имплантология;BONETRUST;Германия;Формирователь десны, ;;/upload/photo/58_96_325.jpg;/upload/photo/58_96_325.jpg
BoneTrust;абатменты;заживляющие;20683;170-004050 Hex Plus;170-004050-hex-plus;Имплантология;BONETRUST;Германия;Формирователь десны, ;;/upload/photo/60_converted_80_353.jpg;/upload/photo/60_converted_80_353.jpg
BoneTrust;абатменты;заживляющие;20682;170-004030 Hex Plus;170-004030-hex-plus;Имплантология;BONETRUST;Германия;Формирователь десны, ;;/upload/photo/59_67_833.jpg;/upload/photo/59_67_833.jpg
BoneTrust;абатменты;заживляющие;20681;170-004015 Hex Plus;170-004015-hex-plus;Имплантология;BONETRUST;Германия;Формирователь десны, ;;/upload/photo/58_84_808.jpg;/upload/photo/58_84_808.jpg
